City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
627,Morant Bay,JM,73.71,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
629,Biltine,TD,71.58,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
631,Pozo Colorado,PY,74.41,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
634,Luanda,AO,82.4,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
636,Churachandpur,IN,79.11,broken clouds,24.3333,93.6667,Joyful tunglut
642,Eyl,SO,79.88,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
643,Kismayo,SO,81.54,clear sky,-0.3582,42.5454,Agan-Hotel
646,La Huaca,PE,76.24,overcast clouds,-4.9117,-80.96,HOSPEDAJE “ROUSE”
650,Lufilufi,WS,79.79,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort
653,Poya,NC,83.19,overcast clouds,-21.35,165.15,
654,Mackay,AU,79.99,overcast clouds,-21.15,149.2,International Lodge Motel
655,Pochutla,MX,72.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
660,Ibra,OM,77.18,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
662,Axim,GH,79.39,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
663,Lascahobas,HT,71.24,few clouds,18.8294,-71.9364,oasisinn lascahobas
670,Prieska,ZA,86.94,clear sky,-29.6641,22.7474,Avenue GuestHouse
674,Pangkalanbuun,ID,88.52,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
675,Yaan,NG,78.37,broken clouds,7.3833,8.5667,
